P7 · Murphy decomposition · HEAD=d70eadc7 · python=3.11.15
cell hill d=6 sigma_rel=0.25 · arms=('doe', 'qlogei', 'qlognei', 'lhs', 'sobol', 'random', 'versionb', 'versionb_random', 'versionb_predictive', 'plate1_only')
gamma=(0.5, 0.7, 0.8, 0.9, 0.95, 0.99)
tau_frac=(0.6, 0.75, 0.85, 0.95) · 10 equal-count bins
grid: 20000 Sobol at seed 0

50 (instance, seed) pairs x 10 arms = 500 campaigns

[ 20/50] lhs      59e420274f4385d9 seed=1 regret=0.1493 rows=24 (2.4s)
[ 20/50] sobol    59e420274f4385d9 seed=1 regret=0.3281 rows=24 (2.2s)
[ 20/50] random   59e420274f4385d9 seed=1 regret=0.1698 rows=24 (2.2s)
[ 20/50] versionb 59e420274f4385d9 seed=1 regret=0.1908 rows=24 (3.0s)
[ 20/50] versionb_random 59e420274f4385d9 seed=1 regret=0.1908 rows=24 (2.4s)
[ 20/50] versionb_predictive 59e420274f4385d9 seed=1 regret=0.1908 rows=24 (3.3s)
[ 20/50] plate1_only 59e420274f4385d9 seed=1 regret=0.1493 rows=24 (2.7s)
[ 21/50] doe      5b3926ef2c5fe4b6 seed=0 regret=0.0673 rows=24 (2.6s)
[ 21/50] qlogei   5b3926ef2c5fe4b6 seed=0 regret=0.1507 rows=24 (19.1s)
[ 21/50] qlognei  5b3926ef2c5fe4b6 seed=0 regret=0.1366 rows=24 (14.1s)
[ 21/50] lhs      5b3926ef2c5fe4b6 seed=0 regret=0.2072 rows=24 (2.2s)
[ 21/50] sobol    5b3926ef2c5fe4b6 seed=0 regret=0.2250 rows=24 (2.2s)
[ 21/50] random   5b3926ef2c5fe4b6 seed=0 regret=0.2311 rows=24 (2.4s)
[ 21/50] versionb 5b3926ef2c5fe4b6 seed=0 regret=0.1072 rows=24 (3.1s)
[ 21/50] versionb_random 5b3926ef2c5fe4b6 seed=0 regret=0.1072 rows=24 (2.7s)
[ 21/50] versionb_predictive 5b3926ef2c5fe4b6 seed=0 regret=0.1072 rows=24 (3.4s)
[ 21/50] plate1_only 5b3926ef2c5fe4b6 seed=0 regret=0.2072 rows=24 (2.6s)
[ 22/50] doe      5b3926ef2c5fe4b6 seed=1 regret=0.0973 rows=24 (2.7s)
[ 22/50] qlogei   5b3926ef2c5fe4b6 seed=1 regret=0.1676 rows=24 (6.5s)
[ 22/50] qlognei  5b3926ef2c5fe4b6 seed=1 regret=0.0802 rows=24 (10.3s)
[ 22/50] lhs      5b3926ef2c5fe4b6 seed=1 regret=0.1333 rows=24 (2.5s)
[ 22/50] sobol    5b3926ef2c5fe4b6 seed=1 regret=0.2420 rows=24 (2.6s)
[ 22/50] random   5b3926ef2c5fe4b6 seed=1 regret=0.2112 rows=24 (2.6s)
[ 22/50] versionb 5b3926ef2c5fe4b6 seed=1 regret=0.2170 rows=24 (3.4s)
[ 22/50] versionb_random 5b3926ef2c5fe4b6 seed=1 regret=0.2170 rows=24 (2.7s)
[ 22/50] versionb_predictive 5b3926ef2c5fe4b6 seed=1 regret=0.2170 rows=24 (3.4s)
[ 22/50] plate1_only 5b3926ef2c5fe4b6 seed=1 regret=0.1333 rows=24 (2.5s)
[ 23/50] doe      763e0f58925816ca seed=0 regret=0.0970 rows=24 (2.7s)
[ 23/50] qlogei   763e0f58925816ca seed=0 regret=0.2380 rows=24 (16.9s)
[ 23/50] qlognei  763e0f58925816ca seed=0 regret=0.1163 rows=24 (18.2s)
[ 23/50] lhs      763e0f58925816ca seed=0 regret=0.1848 rows=24 (2.7s)
[ 23/50] sobol    763e0f58925816ca seed=0 regret=0.1860 rows=24 (2.7s)
[ 23/50] random   763e0f58925816ca seed=0 regret=0.1831 rows=24 (2.7s)
