path,directory,tube,events,status,control,cd31_detector,cd31_pct,cd31_threshold,cd31_pct_p95,cd31_pct_p99_9,cd31_spread_pp,cd140a_detector,cd140a_pct
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/f1.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,f1,40624,gated_candidate,us.fcs,B525-A,47.3464,16332.86,55.7946,41.6921,14.1025,Y585-A,10.0113
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/f10.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,f10,39548,gated_candidate,us.fcs,B525-A,46.3285,16332.86,54.5868,41.0843,13.5026,Y585-A,10.2534
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/f2.5.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,f2.5,35434,gated_candidate,us.fcs,B525-A,46.8477,16332.86,54.126,41.9512,12.1747,Y585-A,8.695
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/f20.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,f20,50920,gated_candidate,us.fcs,B525-A,36.4474,16332.86,44.2105,31.4886,12.7219,Y585-A,7.8221
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/f5.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,f5,53458,gated_candidate,us.fcs,B525-A,38.6621,16332.86,47.0949,33.4992,13.5957,Y585-A,6.3396
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/us.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,us,18448,control,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/v0.5.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,v0.5,37657,gated_candidate,us.fcs,B525-A,22.5642,16332.86,28.7437,19.6564,9.0873,Y585-A,8.9014
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/v1.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,v1,39077,gated_candidate,us.fcs,B525-A,40.108,16332.86,47.8184,36.034,11.7844,Y585-A,9.8242
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/v10.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,v10,42275,gated_candidate,us.fcs,B525-A,34.2543,16332.86,40.8776,30.8717,10.0059,Y585-A,6.7203
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/v2.5.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,v2.5,42140,gated_candidate,us.fcs,B525-A,39.6061,16332.86,47.3422,35.0831,12.2591,Y585-A,8.5643
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/v20.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,v20,36891,gated_candidate,us.fcs,B525-A,39.8471,16332.86,46.735,35.6781,11.0569,Y585-A,6.3511
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/v5.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,v5,33486,gated_candidate,us.fcs,B525-A,41.265,16332.86,50.1881,36.7258,13.4623,Y585-A,6.4505
