Version C section 4's registered prediction · hartmann6 vs hill
  hartmann6 is multimodal with disconnected superlevel sets, so a single inscribed box is bounded by the largest component; hill is unimodal and has one component, so the decomposition has nothing to recover

[ 189/300] hartmann6   qlognei    d=6 s=0.25 seed=12 comps 0..0 (8.9s)
[ 190/300] hartmann6   versionb   d=6 s=0.25 seed=13 comps 0..0 (1.4s)
[ 191/300] hartmann6   lhs        d=6 s=0.25 seed=13 comps 0..0 (0.9s)
[ 192/300] hartmann6   qlognei    d=6 s=0.25 seed=13 comps 0..1 (8.6s)
[ 193/300] hartmann6   versionb   d=6 s=0.25 seed=14 comps 0..0 (1.3s)
[ 194/300] hartmann6   lhs        d=6 s=0.25 seed=14 comps 0..0 (0.9s)
[ 195/300] hartmann6   qlognei    d=6 s=0.25 seed=14 comps 0..0 (9.0s)
[ 196/300] hartmann6   versionb   d=6 s=0.25 seed=15 comps 0..0 (1.3s)
[ 197/300] hartmann6   lhs        d=6 s=0.25 seed=15 comps 0..0 (0.9s)
[ 198/300] hartmann6   qlognei    d=6 s=0.25 seed=15 comps 0..0 (7.7s)
[ 199/300] hartmann6   versionb   d=6 s=0.25 seed=16 comps 0..0 (1.3s)
[ 200/300] hartmann6   lhs        d=6 s=0.25 seed=16 comps 0..0 (0.9s)
[ 201/300] hartmann6   qlognei    d=6 s=0.25 seed=16 comps 0..2 (8.6s)
[ 202/300] hartmann6   versionb   d=6 s=0.25 seed=17 comps 0..0 (1.3s)
[ 203/300] hartmann6   lhs        d=6 s=0.25 seed=17 comps 0..0 (0.9s)
[ 204/300] hartmann6   qlognei    d=6 s=0.25 seed=17 comps 0..0 (8.0s)
[ 205/300] hartmann6   versionb   d=6 s=0.25 seed=18 comps 0..0 (1.3s)
[ 206/300] hartmann6   lhs        d=6 s=0.25 seed=18 comps 0..0 (0.9s)
[ 207/300] hartmann6   qlognei    d=6 s=0.25 seed=18 comps 0..0 (7.1s)
[ 208/300] hartmann6   versionb   d=6 s=0.25 seed=19 comps 0..0 (1.3s)
[ 209/300] hartmann6   lhs        d=6 s=0.25 seed=19 comps 0..0 (0.9s)
[ 210/300] hartmann6   qlognei    d=6 s=0.25 seed=19 comps 0..8 (15.1s)
[ 211/300] hartmann6   versionb   d=6 s=0.25 seed=20 comps 0..0 (1.5s)
[ 212/300] hartmann6   lhs        d=6 s=0.25 seed=20 comps 0..0 (2.5s)
[ 213/300] hartmann6   qlognei    d=6 s=0.25 seed=20 comps 0..0 (10.2s)
[ 214/300] hartmann6   versionb   d=6 s=0.25 seed=21 comps 0..0 (1.4s)
[ 215/300] hartmann6   lhs        d=6 s=0.25 seed=21 comps 0..0 (1.0s)
[ 216/300] hartmann6   qlognei    d=6 s=0.25 seed=21 comps 0..3 (10.8s)
[ 217/300] hartmann6   versionb   d=6 s=0.25 seed=22 comps 0..0 (1.7s)
[ 218/300] hartmann6   lhs        d=6 s=0.25 seed=22 comps 0..0 (1.2s)
[ 219/300] hartmann6   qlognei    d=6 s=0.25 seed=22 comps 0..0 (10.0s)
[ 220/300] hartmann6   versionb   d=6 s=0.25 seed=23 comps 0..0 (2.2s)
[ 221/300] hartmann6   lhs        d=6 s=0.25 seed=23 comps 0..0 (1.1s)
[ 222/300] hartmann6   qlognei    d=6 s=0.25 seed=23 comps 0..0 (15.4s)
[ 223/300] hartmann6   versionb   d=6 s=0.25 seed=24 comps 0..0 (1.6s)
[ 224/300] hartmann6   lhs        d=6 s=0.25 seed=24 comps 0..0 (1.3s)
[ 225/300] hartmann6   qlognei    d=6 s=0.25 seed=24 comps 0..0 (9.0s)
[ 226/300] hartmann6   versionb   d=6 s=0.1 seed=0 comps 0..0 (1.7s)
[ 227/300] hartmann6   lhs        d=6 s=0.1 seed=0 comps 0..0 (1.0s)
[ 228/300] hartmann6   qlognei    d=6 s=0.1 seed=0 comps 0..0 (8.0s)
[ 229/300] hartmann6   versionb   d=6 s=0.1 seed=1 comps 0..0 (1.8s)
[ 230/300] hartmann6   lhs        d=6 s=0.1 seed=1 comps 0..0 (1.1s)
[ 231/300] hartmann6   qlognei    d=6 s=0.1 seed=1 comps 0..4 (11.5s)
[ 232/300] hartmann6   versionb   d=6 s=0.1 seed=2 comps 0..0 (1.4s)
[ 233/300] hartmann6   lhs        d=6 s=0.1 seed=2 comps 0..0 (1.0s)
