/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
spade-final-2026-08-23 · C1 · hill d=6 sigma=0.25 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[ 242/1100] doe                  5b3926ef2c5f seed=1   rows=12 (10.5m, eta 37m)
[ 243/1100] spade_cf_m0          763e0f589258 seed=0   rows=12 (10.5m, eta 37m)
[ 244/1100] spade_cf_m4          763e0f589258 seed=0   rows=12 (10.6m, eta 37m)
[ 245/1100] spade_cf_m8          763e0f589258 seed=0   rows=12 (10.6m, eta 37m)
[ 246/1100] spade_plate1_only    763e0f589258 seed=0   rows=12 (10.6m, eta 37m)
[ 247/1100] spade_random_plate2  763e0f589258 seed=0   rows=12 (10.7m, eta 37m)
[ 248/1100] sobol                763e0f589258 seed=0   rows=12 (10.7m, eta 37m)
[ 249/1100] lhs                  763e0f589258 seed=0   rows=12 (10.7m, eta 37m)
[ 250/1100] random               763e0f589258 seed=0   rows=12 (10.7m, eta 37m)
[ 251/1100] qlognei              763e0f589258 seed=0   rows=12 (10.9m, eta 37m)
[ 252/1100] qlogei               763e0f589258 seed=0   rows=12 (11.0m, eta 37m)
[ 253/1100] doe                  763e0f589258 seed=0   rows=12 (11.0m, eta 37m)
[ 254/1100] spade_cf_m0          763e0f589258 seed=1   rows=12 (11.0m, eta 37m)
[ 255/1100] spade_cf_m4          763e0f589258 seed=1   rows=12 (11.0m, eta 37m)
[ 256/1100] spade_cf_m8          763e0f589258 seed=1   rows=12 (11.1m, eta 36m)
[ 257/1100] spade_plate1_only    763e0f589258 seed=1   rows=12 (11.1m, eta 36m)
[ 258/1100] spade_random_plate2  763e0f589258 seed=1   rows=12 (11.1m, eta 36m)
[ 259/1100] sobol                763e0f589258 seed=1   rows=12 (11.1m, eta 36m)
[ 260/1100] lhs                  763e0f589258 seed=1   rows=12 (11.2m, eta 36m)
[ 261/1100] random               763e0f589258 seed=1   rows=12 (11.2m, eta 36m)
[ 262/1100] qlognei              763e0f589258 seed=1   rows=12 (11.3m, eta 36m)
[ 263/1100] qlogei               763e0f589258 seed=1   rows=12 (11.5m, eta 36m)
[ 264/1100] doe                  763e0f589258 seed=1   rows=12 (11.5m, eta 36m)
[ 265/1100] spade_cf_m0          7b6071e568a9 seed=0   rows=12 (11.5m, eta 36m)
[ 266/1100] spade_cf_m4          7b6071e568a9 seed=0   rows=12 (11.5m, eta 36m)
[ 267/1100] spade_cf_m8          7b6071e568a9 seed=0   rows=12 (11.6m, eta 36m)
