spade-final-2026-08-23 · C2 · hill d=6 sigma=0.1 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'TARGET'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[ 250/1100] random               763e0f589258 seed=0   rows=12 (13.1m, eta 44m)
[ 251/1100] qlognei              763e0f589258 seed=0   rows=12 (13.3m, eta 45m)
[ 252/1100] qlogei               763e0f589258 seed=0   rows=12 (13.4m, eta 45m)
[ 253/1100] doe                  763e0f589258 seed=0   rows=12 (13.5m, eta 45m)
[ 254/1100] spade_cf_m0          763e0f589258 seed=1   rows=12 (13.5m, eta 45m)
[ 255/1100] spade_cf_m4          763e0f589258 seed=1   rows=12 (13.5m, eta 45m)
[ 256/1100] spade_cf_m8          763e0f589258 seed=1   rows=12 (13.5m, eta 45m)
[ 257/1100] spade_plate1_only    763e0f589258 seed=1   rows=12 (13.6m, eta 45m)
[ 258/1100] spade_random_plate2  763e0f589258 seed=1   rows=12 (13.6m, eta 44m)
[ 259/1100] sobol                763e0f589258 seed=1   rows=12 (13.6m, eta 44m)
[ 260/1100] lhs                  763e0f589258 seed=1   rows=12 (13.7m, eta 44m)
[ 261/1100] random               763e0f589258 seed=1   rows=12 (13.7m, eta 44m)
[ 262/1100] qlognei              763e0f589258 seed=1   rows=12 (13.8m, eta 44m)
[ 263/1100] qlogei               763e0f589258 seed=1   rows=12 (14.0m, eta 44m)
[ 264/1100] doe                  763e0f589258 seed=1   rows=12 (14.0m, eta 44m)
[ 265/1100] spade_cf_m0          7b6071e568a9 seed=0   rows=12 (14.0m, eta 44m)
[ 266/1100] spade_cf_m4          7b6071e568a9 seed=0   rows=12 (14.1m, eta 44m)
[ 267/1100] spade_cf_m8          7b6071e568a9 seed=0   rows=12 (14.1m, eta 44m)
[ 268/1100] spade_plate1_only    7b6071e568a9 seed=0   rows=12 (14.1m, eta 44m)
[ 269/1100] spade_random_plate2  7b6071e568a9 seed=0   rows=12 (14.2m, eta 44m)
[ 270/1100] sobol                7b6071e568a9 seed=0   rows=12 (14.2m, eta 44m)
[ 271/1100] lhs                  7b6071e568a9 seed=0   rows=12 (14.2m, eta 44m)
[ 272/1100] random               7b6071e568a9 seed=0   rows=12 (14.3m, eta 43m)
[ 273/1100] qlognei              7b6071e568a9 seed=0   rows=12 (14.4m, eta 44m)
[ 274/1100] qlogei               7b6071e568a9 seed=0   rows=12 (14.5m, eta 44m)
[ 275/1100] doe                  7b6071e568a9 seed=0   rows=12 (14.6m, eta 44m)
[ 276/1100] spade_cf_m0          7b6071e568a9 seed=1   rows=12 (14.6m, eta 44m)
[ 277/1100] spade_cf_m4          7b6071e568a9 seed=1   rows=12 (14.6m, eta 43m)
[ 278/1100] spade_cf_m8          7b6071e568a9 seed=1   rows=12 (14.7m, eta 43m)
[ 279/1100] spade_plate1_only    7b6071e568a9 seed=1   rows=12 (14.7m, eta 43m)
[ 280/1100] spade_random_plate2  7b6071e568a9 seed=1   rows=12 (14.7m, eta 43m)
[ 281/1100] sobol                7b6071e568a9 seed=1   rows=12 (14.8m, eta 43m)
[ 282/1100] lhs                  7b6071e568a9 seed=1   rows=12 (14.8m, eta 43m)
[ 283/1100] random               7b6071e568a9 seed=1   rows=12 (14.8m, eta 43m)
[ 284/1100] qlognei              7b6071e568a9 seed=1   rows=12 (15.0m, eta 43m)
